Time:22.54366 Axis vector:(-0.6, -0.4) Thumbrotation:-121.3949
Time:22.64414 Axis vector:(-0.6, -0.4) Thumbrotation:-120.9329
Time:22.74443 Axis vector:(-0.6, -0.4) Thumbrotation:-120.7198
Time:22.84502 Axis vector:(-0.6, -0.4) Thumbrotation:-120.8584
Time:22.94558 Axis vector:(-0.6, -0.4) Thumbrotation:-120.9202
Time:23.04592 Axis vector:(-0.6, -0.4) Thumbrotation:-120.9386
Time:23.1465 Axis vector:(-0.6, -0.4) Thumbrotation:-121.0844
Time:23.24745 Axis vector:(-0.6, -0.4) Thumbrotation:-121.2178
Time:23.3477 Axis vector:(-0.6, -0.4) Thumbrotation:-121.2555
Time:23.4482 Axis vector:(-0.6, -0.4) Thumbrotation:-121.1952
Time:23.54864 Axis vector:(-0.6, -0.4) Thumbrotation:-121.0391
Time:23.64964 Axis vector:(-0.6, -0.4) Thumbrotation:-120.8658
Time:23.74973 Axis vector:(-0.6, -0.3) Thumbrotation:-120.7529
Time:23.85025 Axis vector:(-0.6, -0.3) Thumbrotation:-120.6277
Time:23.95082 Axis vector:(-0.6, -0.3) Thumbrotation:-120.5482
Time:24.05122 Axis vector:(-0.6, -0.3) Thumbrotation:-120.5028
Time:24.15184 Axis vector:(-0.6, -0.3) Thumbrotation:-120.4244
Time:24.25227 Axis vector:(-0.6, -0.3) Thumbrotation:-120.415
Time:24.35305 Axis vector:(-0.6, -0.3) Thumbrotation:-120.5254
Time:24.45318 Axis vector:(-0.6, -0.3) Thumbrotation:-120.6329
Time:24.55379 Axis vector:(-0.6, -0.3) Thumbrotation:-120.4193
Time:24.65448 Axis vector:(-0.6, -0.3) Thumbrotation:-120.2852
Time:24.75478 Axis vector:(-0.6, -0.3) Thumbrotation:-119.9918
Time:24.8557 Axis vector:(-0.6, -0.3) Thumbrotation:-117.9191
Time:24.9562 Axis vector:(-0.6, -0.2) Thumbrotation:-111.3566
Time:25.05667 Axis vector:(-0.6, -0.1) Thumbrotation:-103.2494
Time:25.15699 Axis vector:(-0.6, -0.1) Thumbrotation:-95.59514
Time:25.25768 Axis vector:(-0.6, 0.1) Thumbrotation:-83.27511
Time:25.35811 Axis vector:(-0.6, 0.1) Thumbrotation:-78.99553
Time:25.45872 Axis vector:(-0.6, 0.2) Thumbrotation:-76.55922
Time:25.55932 Axis vector:(-0.6, 0.2) Thumbrotation:-75.86471
Time:25.65973 Axis vector:(-0.6, 0.2) Thumbrotation:-75.98544
Time:25.76039 Axis vector:(-0.6, 0.2) Thumbrotation:-76.09722
Time:25.86083 Axis vector:(-0.6, 0.2) Thumbrotation:-76.21781
Time:25.96127 Axis vector:(-0.6, 0.1) Thumbrotation:-76.93141
Time:26.06208 Axis vector:(-0.6, 0.1) Thumbrotation:-80.82669
Time:26.16235 Axis vector:(-0.7, 0.0) Thumbrotation:-89.99002
Time:26.26288 Axis vector:(-0.7, -0.1) Thumbrotation:-101.2891
Time:26.36357 Axis vector:(-0.7, -0.3) Thumbrotation:-110.6708
Time:26.46397 Axis vector:(-0.7, -0.4) Thumbrotation:-117.5048
Time:26.56453 Axis vector:(-0.6, -0.5) Thumbrotation:-125.8789
Time:26.66501 Axis vector:(-0.5, -0.6) Thumbrotation:-139.2325
Time:26.76564 Axis vector:(-0.4, -0.7) Thumbrotation:-148.19
Time:26.86628 Axis vector:(-0.3, -0.8) Thumbrotation:-158.3654
Time:26.96671 Axis vector:(-0.2, -0.8) Thumbrotation:-165.4853
Time:27.0672 Axis vector:(-0.2, -0.8) Thumbrotation:-166.0188
Time:27.16771 Axis vector:(-0.1, -0.8) Thumbrotation:-171.6704
Time:27.26833 Axis vector:(0.0, -0.8) Thumbrotation:-178.6467
Time:27.36872 Axis vector:(0.0, -0.8) Thumbrotation:-179.9407
Time:27.46914 Axis vector:(0.1, -0.8) Thumbrotation:176.3409
Time:27.56993 Axis vector:(0.2, -0.7) Thumbrotation:164.275
Time:27.67009 Axis vector:(0.3, -0.6) Thumbrotation:155.8711
Time:27.77068 Axis vector:(0.3, -0.6) Thumbrotation:155.1201
Time:27.87136 Axis vector:(0.3, -0.6) Thumbrotation:154.9747
Time:27.97196 Axis vector:(0.3, -0.6) Thumbrotation:155.0723
Time:28.07239 Axis vector:(0.3, -0.6) Thumbrotation:155.3105
Time:28.17281 Axis vector:(0.3, -0.6) Thumbrotation:155.4652
Time:28.27424 Axis vector:(0.3, -0.6) Thumbrotation:155.5623
Time:28.38516 Axis vector:(0.3, -0.6) Thumbrotation:155.6806
Time:28.48588 Axis vector:(0.3, -0.6) Thumbrotation:155.771
