Start time:0.1206922
Time:60.40805 Axis vector:(0.0, 0.6) Thumbrotation:0.5757331
Time:60.50883 Axis vector:(0.0, 0.6) Thumbrotation:0.5941319
Time:60.60917 Axis vector:(0.0, 0.6) Thumbrotation:0.6029587
Time:60.7099 Axis vector:(0.0, 0.6) Thumbrotation:0.6084505
Time:60.81058 Axis vector:(0.0, 0.6) Thumbrotation:0.615167
Time:60.91084 Axis vector:(0.0, 0.6) Thumbrotation:0.6097356
Time:61.01171 Axis vector:(0.0, 0.6) Thumbrotation:0.5977437
Time:62.41879 Axis vector:(0.1, 0.7) Thumbrotation:9.294938
Time:62.51932 Axis vector:(0.2, 0.7) Thumbrotation:12.24349
Time:62.61977 Axis vector:(0.2, 0.8) Thumbrotation:12.93651
Time:62.72016 Axis vector:(0.2, 0.8) Thumbrotation:13.3697
Time:62.82101 Axis vector:(0.2, 0.8) Thumbrotation:13.01055
Time:62.92126 Axis vector:(0.2, 0.8) Thumbrotation:11.85707
Time:63.02217 Axis vector:(0.1, 0.8) Thumbrotation:9.952697
Time:63.12234 Axis vector:(0.1, 0.8) Thumbrotation:8.322466
Time:63.22303 Axis vector:(0.1, 0.8) Thumbrotation:7.402235
Time:63.32343 Axis vector:(0.1, 0.8) Thumbrotation:6.848795
Time:63.42414 Axis vector:(0.1, 0.8) Thumbrotation:6.560527
Time:63.52478 Axis vector:(0.1, 0.8) Thumbrotation:6.231965
Time:63.625 Axis vector:(0.1, 0.8) Thumbrotation:5.883099
Time:63.72547 Axis vector:(0.1, 0.7) Thumbrotation:5.890192
Time:63.82622 Axis vector:(0.1, 0.7) Thumbrotation:6.209494
Time:63.92664 Axis vector:(0.1, 0.7) Thumbrotation:6.65287
Time:64.02772 Axis vector:(0.1, 0.7) Thumbrotation:7.082136
Time:64.12783 Axis vector:(0.1, 0.7) Thumbrotation:7.223467
Time:64.22829 Axis vector:(0.1, 0.7) Thumbrotation:7.2974
Time:64.32886 Axis vector:(0.1, 0.7) Thumbrotation:7.345238
Time:64.42934 Axis vector:(0.1, 0.7) Thumbrotation:7.359274
Time:64.52989 Axis vector:(0.1, 0.7) Thumbrotation:7.373445
Time:64.63038 Axis vector:(0.1, 0.7) Thumbrotation:7.391465
Time:64.74664 Axis vector:(0.1, 0.7) Thumbrotation:7.395366
Time:64.85371 Axis vector:(0.1, 0.7) Thumbrotation:8.286242
-------New Trial--------
Start time:69.892
Time:70.50382 Axis vector:(0.1, 0.5) Thumbrotation:15.79231
Time:70.60425 Axis vector:(0.2, 0.6) Thumbrotation:15.29217
