Start time:0.3071694
Time:58.95861 Axis vector:(-1.0, 0.2) Thumbrotation:-81.00042
Time:59.08818 Axis vector:(-1.0, -0.2) Thumbrotation:-99.1161
Time:59.20398 Axis vector:(-1.0, -0.2) Thumbrotation:-103.081
Time:59.31721 Axis vector:(-1.0, -0.2) Thumbrotation:-103.5235
Time:59.55121 Axis vector:(-0.3, 0.6) Thumbrotation:-30.93918
Time:59.66895 Axis vector:(-0.2, 0.5) Thumbrotation:-21.22516
Time:59.80202 Axis vector:(-0.2, 0.5) Thumbrotation:-23.59383
Time:59.91351 Axis vector:(-0.3, 0.6) Thumbrotation:-28.23635
Time:60.03831 Axis vector:(-0.3, 0.6) Thumbrotation:-26.1159
Time:60.1519 Axis vector:(-0.3, 0.6) Thumbrotation:-24.41773
Time:60.2892 Axis vector:(-0.3, 0.6) Thumbrotation:-23.59594
Time:60.44543 Axis vector:(-0.2, 0.6) Thumbrotation:-23.1982
Time:60.57394 Axis vector:(-0.2, 0.6) Thumbrotation:-21.4925
Time:60.70209 Axis vector:(-0.2, 0.6) Thumbrotation:-21.19617
Time:60.82151 Axis vector:(-0.2, 0.6) Thumbrotation:-21.34419
Time:60.93484 Axis vector:(-0.2, 0.6) Thumbrotation:-21.38311
Time:61.0683 Axis vector:(-0.2, 0.6) Thumbrotation:-21.53827
Time:61.18601 Axis vector:(-0.2, 0.6) Thumbrotation:-21.79664
Time:61.29769 Axis vector:(-0.2, 0.5) Thumbrotation:-21.5521
Time:61.40868 Axis vector:(-0.2, 0.5) Thumbrotation:-21.1398
Time:61.52468 Axis vector:(-0.2, 0.5) Thumbrotation:-20.52723
Time:61.66771 Axis vector:(-0.2, 0.5) Thumbrotation:-20.07901
Time:61.83239 Axis vector:(-0.2, 0.5) Thumbrotation:-20.16934
Time:61.98589 Axis vector:(-0.2, 0.5) Thumbrotation:-19.8201
Time:62.1776 Axis vector:(-0.2, 0.5) Thumbrotation:-19.58572
Time:62.2817 Axis vector:(-0.2, 0.5) Thumbrotation:-19.21927
Time:62.38849 Axis vector:(-0.2, 0.5) Thumbrotation:-18.75396
Time:62.59063 Axis vector:(-0.2, 0.5) Thumbrotation:-18.25284
Time:62.71206 Axis vector:(-0.2, 0.5) Thumbrotation:-17.85835
Time:62.86428 Axis vector:(-0.2, 0.5) Thumbrotation:-16.02871
Time:62.97657 Axis vector:(-0.1, 0.5) Thumbrotation:-14.94182
Time:63.0782 Axis vector:(-0.1, 0.5) Thumbrotation:-14.51098
