Start time:0.1739149
Time:32.62397 Axis vector:(-0.1, 0.6) Thumbrotation:-8.291098
Time:32.72448 Axis vector:(-0.1, 0.6) Thumbrotation:-8.274765
Time:32.82488 Axis vector:(-0.1, 0.6) Thumbrotation:-8.262321
Time:32.9257 Axis vector:(-0.1, 0.6) Thumbrotation:-8.1847
Time:33.02627 Axis vector:(-0.1, 0.6) Thumbrotation:-8.084103
Time:33.12668 Axis vector:(-0.1, 0.6) Thumbrotation:-8.026025
Time:33.22715 Axis vector:(-0.1, 0.6) Thumbrotation:-7.923402
Time:33.83031 Axis vector:(-0.8, 0.6) Thumbrotation:-50.23518
Time:33.9311 Axis vector:(-0.8, 0.6) Thumbrotation:-50.4133
Time:34.03133 Axis vector:(-0.8, 0.6) Thumbrotation:-50.40793
Time:34.13185 Axis vector:(-0.8, 0.6) Thumbrotation:-50.19141
Time:34.23246 Axis vector:(-0.7, 0.7) Thumbrotation:-48.19929
Time:34.4333 Axis vector:(-0.7, 0.7) Thumbrotation:-47.2325
Time:34.53387 Axis vector:(-0.6, 0.6) Thumbrotation:-43.95481
Time:34.63438 Axis vector:(-0.6, 0.6) Thumbrotation:-43.64347
Time:34.73495 Axis vector:(-0.7, 0.6) Thumbrotation:-49.02798
Time:34.83544 Axis vector:(-0.8, 0.6) Thumbrotation:-49.79358
Time:34.93599 Axis vector:(-0.8, 0.6) Thumbrotation:-50.37352
Time:35.03652 Axis vector:(-0.8, 0.6) Thumbrotation:-50.63683
Time:35.13721 Axis vector:(-0.8, 0.6) Thumbrotation:-50.65055
Time:35.23751 Axis vector:(-0.8, 0.6) Thumbrotation:-50.59624
Time:35.33811 Axis vector:(-0.8, 0.6) Thumbrotation:-50.56051
Time:35.43891 Axis vector:(-0.8, 0.6) Thumbrotation:-50.57544
Time:35.53914 Axis vector:(-0.8, 0.6) Thumbrotation:-50.7355
Time:35.63977 Axis vector:(-0.8, 0.6) Thumbrotation:-50.75178
Time:35.74017 Axis vector:(-0.8, 0.6) Thumbrotation:-50.75501
Time:35.84075 Axis vector:(-0.8, 0.6) Thumbrotation:-50.72
Time:35.94131 Axis vector:(-0.8, 0.6) Thumbrotation:-50.72504
Time:36.04189 Axis vector:(-0.8, 0.6) Thumbrotation:-50.77578
Time:36.14245 Axis vector:(-0.8, 0.6) Thumbrotation:-50.83429
Time:36.24273 Axis vector:(-0.8, 0.6) Thumbrotation:-50.86076
Time:36.34335 Axis vector:(-0.8, 0.6) Thumbrotation:-50.8873
Time:36.44407 Axis vector:(-0.8, 0.6) Thumbrotation:-50.90886
Time:36.54451 Axis vector:(-0.8, 0.6) Thumbrotation:-51.06066
Time:36.64508 Axis vector:(-0.8, 0.6) Thumbrotation:-51.32012
Time:36.74559 Axis vector:(-0.8, 0.6) Thumbrotation:-51.49318
Time:36.84657 Axis vector:(-0.8, 0.6) Thumbrotation:-51.57185
Time:36.94678 Axis vector:(-0.8, 0.6) Thumbrotation:-51.6445
Time:37.04713 Axis vector:(-0.8, 0.6) Thumbrotation:-51.67607
Time:37.14767 Axis vector:(-0.8, 0.6) Thumbrotation:-51.68543
Time:37.24824 Axis vector:(-0.8, 0.6) Thumbrotation:-51.65574
Time:37.34868 Axis vector:(-0.8, 0.6) Thumbrotation:-51.66764
Time:37.44924 Axis vector:(-0.8, 0.6) Thumbrotation:-51.71367
Time:37.54983 Axis vector:(-0.8, 0.6) Thumbrotation:-51.71624
Time:37.65025 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7056
Time:37.75099 Axis vector:(-0.8, 0.6) Thumbrotation:-51.71909
Time:37.85155 Axis vector:(-0.8, 0.6) Thumbrotation:-51.75586
Time:37.95185 Axis vector:(-0.8, 0.6) Thumbrotation:-51.76912
Time:38.05236 Axis vector:(-0.8, 0.6) Thumbrotation:-51.76038
Time:38.1529 Axis vector:(-0.8, 0.6) Thumbrotation:-51.78172
Time:38.25336 Axis vector:(-0.8, 0.6) Thumbrotation:-51.82261
Time:38.35392 Axis vector:(-0.8, 0.6) Thumbrotation:-51.7382
