Time:7.934131 Axis vector:(0.5, 0.0) Thumbrotation:87.65177
Time:8.034581 Axis vector:(0.5, 0.0) Thumbrotation:87.6366
Time:8.135392 Axis vector:(0.5, 0.0) Thumbrotation:87.62946
Time:8.23604 Axis vector:(0.5, 0.0) Thumbrotation:87.63426
Time:8.336127 Axis vector:(0.5, 0.0) Thumbrotation:87.64178
Time:8.436875 Axis vector:(0.5, 0.0) Thumbrotation:87.6497
Time:8.537252 Axis vector:(0.5, 0.0) Thumbrotation:87.66855
Time:8.637779 Axis vector:(0.5, 0.0) Thumbrotation:87.68678
Time:8.738546 Axis vector:(0.5, 0.0) Thumbrotation:87.69715
Time:8.839373 Axis vector:(0.5, 0.0) Thumbrotation:87.708
Time:8.939476 Axis vector:(0.5, 0.0) Thumbrotation:87.71471
Time:9.03999 Axis vector:(0.5, 0.0) Thumbrotation:87.71817
Time:9.140658 Axis vector:(0.5, 0.0) Thumbrotation:87.72222
Time:9.241124 Axis vector:(0.5, 0.0) Thumbrotation:87.72935
Time:9.341712 Axis vector:(0.5, 0.0) Thumbrotation:87.73578
Time:9.442337 Axis vector:(0.5, 0.0) Thumbrotation:87.74164
Time:9.542791 Axis vector:(0.5, 0.0) Thumbrotation:87.74709
Time:9.643116 Axis vector:(0.5, 0.0) Thumbrotation:87.75299
Time:9.743752 Axis vector:(0.5, 0.0) Thumbrotation:87.75597
Time:9.844145 Axis vector:(0.5, 0.0) Thumbrotation:87.75661
Time:9.944673 Axis vector:(0.5, 0.0) Thumbrotation:87.75661
Time:10.04556 Axis vector:(0.5, 0.0) Thumbrotation:87.75661
Time:10.15696 Axis vector:(0.5, 0.0) Thumbrotation:87.78359
Time:11.27413 Axis vector:(0.2, 0.7) Thumbrotation:14.15911
