Start time:0.2050475
Start time:0.1293009
Start time:0.2259058
Start time:0.1436359
Time:10.48174 Axis vector:(0.1, 0.7) Thumbrotation:10.20454
Time:10.58223 Axis vector:(0.1, 0.7) Thumbrotation:9.966775
Time:10.68271 Axis vector:(0.1, 0.7) Thumbrotation:9.843746
Time:10.78326 Axis vector:(0.1, 0.7) Thumbrotation:9.678166
Time:10.88374 Axis vector:(0.1, 0.7) Thumbrotation:9.556911
Time:10.9845 Axis vector:(0.1, 0.7) Thumbrotation:9.410016
Time:11.08509 Axis vector:(0.1, 0.7) Thumbrotation:9.249856
Time:11.18534 Axis vector:(0.1, 0.7) Thumbrotation:8.995777
Time:11.28582 Axis vector:(0.1, 0.7) Thumbrotation:8.693144
Time:11.38637 Axis vector:(0.1, 0.7) Thumbrotation:8.468654
Time:11.48718 Axis vector:(0.1, 0.7) Thumbrotation:8.339954
Time:11.9896 Axis vector:(0.8, 0.1) Thumbrotation:80.26942
Time:14.31292 Axis vector:(-0.9, -0.2) Thumbrotation:-105.5442
Time:14.41422 Axis vector:(-0.9, -0.1) Thumbrotation:-99.09146
Time:14.52518 Axis vector:(-0.9, 0.1) Thumbrotation:-84.02637
Start time:0.1496465
Time:0.8146823 Axis vector:(-0.3, 0.3) Thumbrotation:-49.622
Time:0.915255 Axis vector:(-0.3, 0.3) Thumbrotation:-41.7592
Time:1.015712 Axis vector:(-0.2, 0.3) Thumbrotation:-33.0465
Time:1.116198 Axis vector:(-0.1, 0.3) Thumbrotation:-22.78079
Time:1.216724 Axis vector:(-0.1, 0.4) Thumbrotation:-19.80968
Time:1.317319 Axis vector:(-0.1, 0.3) Thumbrotation:-21.70874
Time:1.417866 Axis vector:(-0.1, 0.3) Thumbrotation:-27.21466
Time:1.518375 Axis vector:(-0.2, 0.2) Thumbrotation:-31.78291
Time:1.618998 Axis vector:(-0.2, 0.2) Thumbrotation:-33.76914
Time:1.71956 Axis vector:(-0.2, 0.2) Thumbrotation:-34.2976
Time:1.81984 Axis vector:(-0.2, 0.3) Thumbrotation:-33.72853
Time:1.920546 Axis vector:(-0.2, 0.3) Thumbrotation:-33.11137
Time:2.02127 Axis vector:(-0.2, 0.3) Thumbrotation:-31.43841
Time:2.121655 Axis vector:(-0.2, 0.3) Thumbrotation:-29.91082
Time:2.222047 Axis vector:(-0.2, 0.3) Thumbrotation:-29.38635
Time:2.322523 Axis vector:(-0.2, 0.3) Thumbrotation:-29.18836
Time:2.423169 Axis vector:(-0.2, 0.3) Thumbrotation:-29.08746
Time:2.52386 Axis vector:(-0.2, 0.3) Thumbrotation:-29.16882
Time:2.624235 Axis vector:(-0.2, 0.3) Thumbrotation:-30.08504
Time:2.724653 Axis vector:(-0.2, 0.3) Thumbrotation:-30.65518
Time:2.825316 Axis vector:(-0.2, 0.3) Thumbrotation:-31.39007
Time:2.925633 Axis vector:(-0.2, 0.3) Thumbrotation:-31.68499
Time:3.026375 Axis vector:(-0.2, 0.3) Thumbrotation:-31.57271
Time:3.126671 Axis vector:(-0.2, 0.3) Thumbrotation:-31.55274
Time:3.227405 Axis vector:(-0.2, 0.3) Thumbrotation:-32.01579
Time:4.333158 Axis vector:(-0.3, 0.6) Thumbrotation:-28.93569
Time:4.433681 Axis vector:(-0.3, 0.5) Thumbrotation:-30.16889
Time:4.534206 Axis vector:(-0.3, 0.5) Thumbrotation:-30.47875
Time:4.634778 Axis vector:(-0.3, 0.5) Thumbrotation:-29.27533
Time:4.735437 Axis vector:(-0.3, 0.5) Thumbrotation:-28.60221
Time:4.836027 Axis vector:(-0.3, 0.5) Thumbrotation:-26.63132
Time:4.936234 Axis vector:(-0.3, 0.5) Thumbrotation:-26.01622
Time:5.036877 Axis vector:(-0.2, 0.5) Thumbrotation:-25.6346
Time:5.137535 Axis vector:(-0.2, 0.5) Thumbrotation:-25.26987
Time:5.238032 Axis vector:(-0.2, 0.5) Thumbrotation:-24.95318
Time:5.338547 Axis vector:(-0.2, 0.5) Thumbrotation:-24.73357
Time:5.439084 Axis vector:(-0.2, 0.5) Thumbrotation:-24.58629
Time:5.539464 Axis vector:(-0.2, 0.5) Thumbrotation:-24.60813
Time:5.64035 Axis vector:(-0.2, 0.6) Thumbrotation:-24.0756
Time:5.740482 Axis vector:(-0.3, 0.6) Thumbrotation:-21.44028
Time:5.840955 Axis vector:(-0.2, 0.7) Thumbrotation:-18.68693
Time:5.941617 Axis vector:(-0.2, 0.8) Thumbrotation:-16.51205
Time:6.042218 Axis vector:(-0.2, 0.8) Thumbrotation:-15.9216
Time:6.142724 Axis vector:(-0.2, 0.8) Thumbrotation:-16.0612
Time:6.24307 Axis vector:(-0.2, 0.8) Thumbrotation:-15.67712
Time:6.343547 Axis vector:(-0.2, 0.9) Thumbrotation:-15.07294
Time:6.444263 Axis vector:(-0.2, 0.9) Thumbrotation:-14.7666
Time:6.544759 Axis vector:(-0.2, 0.8) Thumbrotation:-14.79488
Time:6.645464 Axis vector:(-0.2, 0.8) Thumbrotation:-15.04379
Time:6.745703 Axis vector:(-0.2, 0.8) Thumbrotation:-15.35759
Time:6.846525 Axis vector:(-0.2, 0.6) Thumbrotation:-16.14843
Time:6.946868 Axis vector:(-0.1, 0.3) Thumbrotation:-11.69759
Time:7.047484 Axis vector:(0.0, 0.4) Thumbrotation:-3.3984
Time:7.148114 Axis vector:(0.0, 0.5) Thumbrotation:0
Time:7.248305 Axis vector:(0.0, 0.8) Thumbrotation:0.563365
Time:7.348851 Axis vector:(-0.1, 0.9) Thumbrotation:-3.677274
Time:7.449383 Axis vector:(-0.1, 0.9) Thumbrotation:-4.037499
Time:7.550293 Axis vector:(-0.1, 0.9) Thumbrotation:-4.115374
Time:7.650875 Axis vector:(-0.1, 1.0) Thumbrotation:-4.055696
Time:7.75112 Axis vector:(-0.1, 1.0) Thumbrotation:-3.983887
Time:7.851543 Axis vector:(-0.1, 1.0) Thumbrotation:-3.848173
Time:7.952086 Axis vector:(-0.1, 1.0) Thumbrotation:-3.743818
Time:8.052765 Axis vector:(-0.1, 1.0) Thumbrotation:-3.712937
Time:8.15303 Axis vector:(-0.1, 1.0) Thumbrotation:-3.700152
Time:8.253718 Axis vector:(-0.1, 1.0) Thumbrotation:-3.732975
Time:8.354232 Axis vector:(-0.1, 1.0) Thumbrotation:-3.786256
Time:8.454863 Axis vector:(-0.1, 1.0) Thumbrotation:-3.823362
Time:8.556042 Axis vector:(-0.1, 1.0) Thumbrotation:-3.925906
Time:8.666929 Axis vector:(-0.1, 1.0) Thumbrotation:-4.020585
Time:8.767486 Axis vector:(-0.1, 1.0) Thumbrotation:-4.031966
Time:8.867938 Axis vector:(-0.1, 1.0) Thumbrotation:-3.981576
Time:8.968925 Axis vector:(-0.1, 1.0) Thumbrotation:-3.952254
Time:9.068943 Axis vector:(-0.1, 1.0) Thumbrotation:-3.919865
Time:9.169488 Axis vector:(-0.1, 1.0) Thumbrotation:-4.232858
Time:9.270304 Axis vector:(-0.1, 1.0) Thumbrotation:-4.592864
Time:9.37061 Axis vector:(-0.1, 1.0) Thumbrotation:-4.904366
Time:9.471251 Axis vector:(-0.1, 1.0) Thumbrotation:-5.112398
Time:9.571821 Axis vector:(-0.1, 1.0) Thumbrotation:-5.027651
Time:9.672333 Axis vector:(-0.1, 1.0) Thumbrotation:-4.922627
Time:9.772643 Axis vector:(-0.1, 1.0) Thumbrotation:-4.962187
Time:9.873173 Axis vector:(-0.1, 1.0) Thumbrotation:-4.966568
Time:9.973751 Axis vector:(-0.1, 1.0) Thumbrotation:-4.779343
Time:10.07451 Axis vector:(-0.1, 1.0) Thumbrotation:-4.554791
Time:10.17481 Axis vector:(-0.1, 1.0) Thumbrotation:-4.390615
Time:10.27537 Axis vector:(-0.1, 1.0) Thumbrotation:-4.226561
Time:10.3762 Axis vector:(-0.1, 1.0) Thumbrotation:-4.077991
Time:10.47636 Axis vector:(-0.1, 1.0) Thumbrotation:-3.936665
Time:10.57715 Axis vector:(-0.1, 1.0) Thumbrotation:-3.855087
Time:10.67774 Axis vector:(-0.1, 1.0) Thumbrotation:-3.788893
Time:10.77832 Axis vector:(-0.1, 1.0) Thumbrotation:-3.73565
Time:10.87859 Axis vector:(-0.1, 0.9) Thumbrotation:-3.685943
Time:10.97897 Axis vector:(-0.1, 0.9) Thumbrotation:-3.653823
Time:11.07977 Axis vector:(-0.1, 0.9) Thumbrotation:-3.623798
Time:11.17997 Axis vector:(-0.1, 0.9) Thumbrotation:-3.601631
Time:11.28059 Axis vector:(-0.1, 0.9) Thumbrotation:-3.587141
Time:11.38148 Axis vector:(-0.1, 0.9) Thumbrotation:-3.572647
Time:11.48167 Axis vector:(-0.1, 0.9) Thumbrotation:-3.560955
Time:11.58214 Axis vector:(-0.1, 0.9) Thumbrotation:-3.555507
Time:11.68298 Axis vector:(-0.1, 0.9) Thumbrotation:-3.635827
Time:11.78466 Axis vector:(-0.1, 1.0) Thumbrotation:-3.906153
Time:11.89511 Axis vector:(-0.1, 1.0) Thumbrotation:-4.38307
Time:11.99552 Axis vector:(-0.1, 1.0) Thumbrotation:-5.009224
Time:12.09623 Axis vector:(-0.1, 1.0) Thumbrotation:-5.988412
Time:12.19662 Axis vector:(-0.1, 1.0) Thumbrotation:-6.597725
Time:12.29701 Axis vector:(-0.1, 1.0) Thumbrotation:-6.918208
